date,kwhh
2012-12-06,71895.7861558
2012-12-07,70912.9160003
2012-12-08,70699.2506207
2012-12-09,74193.6006909
2012-12-10,69244.1151033
2012-12-11,65086.9984888
2012-12-12,73306.042872
2012-12-13,73645.919165
2012-12-14,72310.5293413
2012-12-15,68844.3751795
2012-12-16,70541.968134
2012-12-17,66003.5517895
2012-12-18,66057.0542571
2012-12-19,68504.5934739
2012-12-20,67630.9589331
2012-12-21,64984.3623643
2012-12-22,68183.4121748
2012-12-23,65806.9578321
2012-12-24,66453.0324315
2012-12-25,68988.8575603
2012-12-26,64350.8854056
2012-12-27,65277.8552722
2012-12-28,64881.7878731
2012-12-29,64371.3620727
2012-12-30,65610.1048356
2012-12-31,65599.6108828
2013-01-01,65269.3683095
2013-01-02,66235.8041311
2013-01-03,62832.5072616
2013-01-04,62942.0302939
2013-01-05,64568.0339626
2013-01-06,68459.0925114
2013-01-07,64268.2556847
2013-01-08,61974.0806848
2013-01-09,62511.5134141
2013-01-10,66524.2088074
2013-01-11,66713.7119324
2013-01-12,71923.9175437
2013-01-13,75265.2242415
2013-01-14,72611.0507245
2013-01-15,71281.0678107
2013-01-16,72377.1829763
2013-01-17,73059.3365093
2013-01-18,77294.2521036
2013-01-19,80900.962952
2013-01-20,82650.4922872
2013-01-21,75034.1448492
2013-01-22,74398.3424138
2013-01-23,73407.7782797
2013-01-24,73479.5189971
2013-01-25,73746.7595068
2013-01-26,70604.6403657
2013-01-27,71041.5211122
2013-01-28,67847.0478182
2013-01-29,63821.568838
2013-01-30,60862.8977928
2013-01-31,61913.049256
2013-02-01,63519.7862192
2013-02-02,67804.0458189
2013-02-03,73004.9902961
2013-02-04,63752.2390072
2013-02-05,65876.3403085
2013-02-06,67198.9672785
2013-02-07,67113.2811495
2013-02-08,66414.1403716
2013-02-09,70502.4568847
2013-02-10,74558.5388256
2013-02-11,71613.7739511
2013-02-12,70967.2114642
2013-02-13,69677.2692743
2013-02-14,65642.6681984
2013-02-15,63305.8972179
2013-02-16,63351.8545143
2013-02-17,65874.2820811
