mac,kwhh
MAC000823,10295.2799999
MAC000824,6476.6680015
MAC000825,9579.0570013
MAC000826,6566.793999
MAC000827,9005.4520011
MAC000828,16285.4119972
MAC000829,1122.8780001
MAC000830,13286.2419969
MAC000831,6958.8939991
MAC000832,8026.9199998
MAC000833,8352.2079982
MAC000834,11961.0180013
MAC000835,9901.6719973
MAC000836,6593.4979986
MAC000837,3352.3909999
MAC000838,4288.7459999
MAC000839,6858.5960001
MAC000840,9031.2319988
MAC000841,5003.5339995
MAC000842,3866.3229999
MAC000843,2859.326
MAC000844,8955.9539998
MAC000845,3511.5019998
MAC000846,3411.2429998
MAC000847,4144.7399998
MAC000848,10611.5850031
MAC000849,4506.0150002
MAC000850,10562.4930002
MAC000851,7916.9040018
MAC000852,2463.7099998
MAC000853,2981.351
MAC000854,4743.099
MAC000855,19908.2149974
MAC000856,8123.7259991
MAC000857,2082.541
MAC000858,11509.1530001
MAC000859,3139.971
MAC000860,5881.7179995
MAC000861,6237.1299997
MAC000862,7702.5400007
MAC000863,11776.8380003
MAC000864,5345.862
MAC000865,3655.5169994
MAC000866,10183.9090001
MAC000867,8728.9899997
MAC000868,4138.9929997
MAC000869,3406.008
MAC000870,2611.3489999
MAC000871,2016.331
MAC000872,8159.839
MAC000873,2693.5550002
MAC000874,2558.0059999
MAC000875,6424.653
MAC000876,7828.2689998
MAC000877,4217.7639999
MAC000878,6837.5570001
MAC000879,5120.4110001
MAC000880,3668.91
MAC000881,5899.1390005
MAC000882,6073.3659998
MAC000883,5784.3569991
MAC000884,11413.2380004
MAC000885,11195.5320028
MAC000886,12709.0839999
MAC000887,2983.16
MAC000888,11020.953
MAC000889,10444.2699978
MAC000890,5003.3359992
MAC000891,4222.769
MAC000892,15168.704997
MAC000893,6272.0899998
MAC000894,8726.3079993
MAC000895,649.231
MAC000896,7208.6390005
MAC000897,3419.0809998
MAC000898,2116.121
MAC000899,12470.7430008
MAC000900,6699.427001
MAC000901,7364.336
MAC000902,13464.3080026
MAC000903,2956.5879998
MAC000904,11250.4870014
MAC000905,5487.4289993
MAC000906,8483.6209983
MAC000907,7095.2659977
MAC000908,11520.253002
MAC000909,4378.0900003
MAC000910,3598.604
MAC000911,6350.5459998
MAC000912,2675.0220002
MAC000913,4131.5100002
MAC000914,4975.9409999
MAC000915,3257.247
MAC000916,21473.6290046
MAC000917,7681.3750004
MAC000918,3402.062
MAC000919,1854.3499999
MAC000920,1961.172
MAC000921,6098.0369996
MAC000922,4643.6159998
MAC000923,4253.4999999
MAC000924,3417.8250001
MAC000925,6133.1279982
MAC000926,3138.826
MAC000927,9303.1359991
MAC000928,5137.052
MAC000929,6501.2270003
MAC000930,6487.799
MAC000931,2663.377
MAC000932,3752.7450006
MAC000933,4523.058
MAC000934,17013.7140023
MAC000935,2345.194
MAC000936,3051.546
MAC000937,1561.3210001
MAC000938,6875.9430002
MAC000939,8182.3689998
MAC000940,10399.0229988
MAC000941,7590.749999
MAC000942,6183.9659994
MAC000943,4834.3670003
MAC000944,4103.114
MAC000945,5327.4549995
MAC000946,3834.5660002
MAC000947,8451.039
MAC000948,8586.2899999
MAC000949,7917.4639995
MAC000950,5942.628001
MAC000951,3540.5919995
MAC000952,3327.1580006
MAC000953,3627.903
MAC000954,6053.1100001
MAC000955,3872.1559999
MAC000956,3213.9520001
MAC000957,15171.7389999
MAC000958,3286.5729993
MAC000959,8709.0230005
MAC000960,5063.5219997
MAC000961,7157.8690005
MAC000962,3795.7920003
MAC000963,7977.6240004
MAC000964,6224.6049995
MAC000965,5680.6109994
MAC000966,23531.9159979
MAC000967,5331.088
MAC000968,6732.6640004
MAC000969,3117.3259987
MAC000970,2244.5680004
MAC000971,1799.3910001
MAC000972,4214.7250003
MAC000973,3484.9990003
MAC000974,4233.4959999
MAC000975,5079.666
MAC000976,5237.0290006
MAC000977,2344.6529984
MAC000978,2826.0209996
MAC000979,4471.5510002
MAC000980,3486.5449994
MAC000981,12020.1860011
MAC000982,5866.5449996
MAC000983,6131.1939992
MAC000984,3475.585
MAC000985,43031.1479947
MAC000986,12771.3929986
MAC000987,8944.5349998
MAC000988,1823.0799995
MAC000989,4499.322
MAC000990,7865.8600006
MAC000991,3258.9239983
MAC000992,7142.7509998
MAC000993,6314.253
MAC000994,5817.4120001
MAC000995,13907.878998
MAC000996,9496.1009973
MAC000997,3808.6269998
MAC000998,3148.356
MAC000999,2135.272
MAC001000,5396.7509992
MAC001001,5091.2020002
MAC001002,1455.995
MAC001003,5072.7880002
MAC001004,27453.8850023
MAC001005,2544.2399998
MAC001006,4501.2740004
MAC001007,4426.748
MAC001008,4119.3369989
MAC001009,19962.5200001
MAC001010,3414.6350002
MAC001011,6590.0729982
